Channel_title	Category	Sum_of_views	Sum_of_likes	Sum_of_dislikes	Sum_of_comments	Img	Link
ChildishGambinoVEVO	Music	3758488765	96700818	6054434	10151289	https://i.ytimg.com/vi/VYOjWnS4cMY/default.jpg	https://www.youtube.com/channel/UC20LoHy2mX0LQODrkUalxVQ
ibighit	Music	2235906679	199247121	3467306	31817464	https://i.ytimg.com/vi/8O_MwlZ2dEg/default.jpg	https://www.youtube.com/user/ibighit
Dude Perfect	Sports	1870085178	60275557	1501477	4009163	https://i.ytimg.com/vi/9oyKePWRi8Y/default.jpg	https://www.youtube.com/user/corycotton
Marvel Entertainment	Entertainment	1808998971	55873344	1031250	6453560	https://i.ytimg.com/vi/NDBwsMIXlMk/default.jpg	https://www.youtube.com/user/MARVEL
ArianaGrandeVevo	Music	1576959172	52170970	1931230	4295333	https://i.ytimg.com/vi/ffxKSjUwKdU/default.jpg	https://www.youtube.com/user/ArianaGrandeVevo
MalumaVEVO	Music	1551515831	23278380	1757948	1227634	https://i.ytimg.com/vi/vjI4Alon-3Q/default.jpg	https://www.youtube.com/user/MalumaVEVO
jypentertainment	Music	1486972132	44900910	2482131	7575510	https://yt3.ggpht.com/a-/AN66SAwUPKXfyx48SC0R-bZmXRk-CamNAXRk9DpEmw=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/jypentertainment
Sony Pictures Entertainment	Entertainment	1432374398	30106808	1414686	3533551	https://yt3.ggpht.com/a-/AN66SAyP7u9a3ir0fSx9U9JGKuA8D-UJZ-g1M0Q7LQ=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/SonyPictures
FoxStarHindi	Entertainment	1238609854	23762509	910745	1782776	https://yt3.ggpht.com/a-/AN66SAxcPx93EJ9x-IMhQNSTtBhi9QP0ABpvLZaB0Q=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/FoxStarHindi
BeckyGVEVO	Music	1182971286	19185287	1616616	1176862	https://yt3.ggpht.com/a-/AN66SAzzrHxZSJZDCLfrTWn489GJ6YDNl45GwU5r2Q=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/BeckyGVEVO
20th Century Fox	Entertainment	1082872611	24419452	488761	1509224	https://yt3.ggpht.com/a-/AN66SAwtsHodTEUXBGyJfdmCCVfGEML0iAsZMHDoQA=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/FoxMovies
CalvinHarrisVEVO	Music	1042564430	17958660	716558	588676	https://yt3.ggpht.com/a-/AN66SAxOVgsW5OSJNXa4RxuymwWw1GZvZErW8ospRw=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/CalvinHarrisVEVO
Ed Sheeran	Music	1032288961	39279211	769501	1950501	https://yt3.ggpht.com/a-/AN66SAyqXY_gRt8dzeInCeBYca1CG0lRpFlFMZTR=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/EdSheeran
Cardi B	Music	1026247756	26724811	1431459	1692916	https://yt3.ggpht.com/a-/AN66SAxXiNUmStjrFfWSfo25hI40wDQQ08GdWt9bog=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/channel/UCxMAbVFmxKUVGAll0WVGpFw
TaylorSwiftVEVO	Music	1010955662	39292840	2127542	3352611	https://yt3.ggpht.com/a-/AN66SAzxAXn7tewvRLSk8BqoKiGSk4Aaf4ZOB1SAFg=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/TaylorSwiftVEVO
Universal Pictures	Entertainment	883707419	12481737	529442	1351963	https://yt3.ggpht.com/a-/AN66SAyEjJhI3Gm465OXCpjV8BrYMsevHCsmLFtjnQ=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/UniversalPictures
ZaynVEVO	Music	838561451	31695245	777336	2144996	https://yt3.ggpht.com/a-/AN66SAwSCUq6yrmcgOEJceZ59miXxHm0zN1k3-Su-A=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/channel/UCy5FUarBYUHFpPtYVuvzgcA
Disney•Pixar	Entertainment	826815182	13623208	449099	1410747	https://yt3.ggpht.com/a-/AN66SAwY4nsT-MKLel5hg4QPeGM2ddNGoIA0rqk70Q=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/DisneyPixar
JenniferLopezVEVO	Music	819466359	14238664	1658325	980470	https://yt3.ggpht.com/a-/AN66SAxe7pquiy3qsK9iM9Cba7zMGpmCVE6f132pzg=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/JenniferLopezVEVO
Selena Gomez	Music	818792483	20165850	346079	1002366	https://yt3.ggpht.com/a-/AN66SAxLtsecsqtT-uwNbACez786avQhcG3OfvjJrw=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/SelenaGomezVEVO
YouTube Spotlight	Entertainment	791388476	20173324	10924092	6495154	https://yt3.ggpht.com/a-/AN66SAxolYSZ7z95fmO69tcaJ7LwL1WxKLavCbObjA=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/YouTube
TheWeekndVEVO	Music	778810304	16996782	369107	774444	https://yt3.ggpht.com/a-/AN66SAzPlwEYhfjiCZN5HStk13dNkI3scbC_1Oez2g=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/TheWeekndVEVO
Daddy Yankee	Music	735203270	14315687	932681	903124	https://yt3.ggpht.com/a-/AN66SAypgd2Y5ATQhmMQijmwI0fN5kxbuhVEl0tmAA=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/DaddyYankeeOFFTV
Diplo	Music	700357966	19952063	702304	973561	https://yt3.ggpht.com/a-/AN66SAxiPOjmN_5svkDMdrD3Uw5PBPTeVHczpY8mVQ=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/diplo1978
Warner Bros. Pictures	Entertainment	665142792	5952414	760592	995175	https://yt3.ggpht.com/a-/AN66SAwWngqtoYrvKcMfXe0I3yO0HrNOJR3m-PWWmg=s288-mo-c-c0xffffffff-rj-k-no	https://www.youtube.com/user/WarnerBrosPictures
